"show_id","viewer_rating","rating_count"
"s134"," 3.5",1178
"s135"," 4.6",5014
"s136"," 3.1",2470
"s137"," 4.3",947
"s138"," 2.2",4191
"s139"," 3.5",3408
"s140"," 8.0",1779
" s141"," 4.2",3689
"s142"," 5.0",9080
"s143"," 4.4",1854
"s144"," 2.4",1791
"s145"," 3.2",1343
"s146"," 3.1",4936
"s147"," 3.5",1614
"s148"," 3.7",3616
"s149"," 3.8",8847
"s150"," 4.2",1869
"s151"," 2.0",2368
"s152"," 3.7",3850
"s153"," 1.6",10846
"s154"," 2.3",5265
"s155"," 4.0",3050
"s156"," 2.7",1681
"s157"," 2.8",8779
"s158"," 5.0",6114
"s159","  NA",22233
"s160","4.2 stars",2226
"s162"," 3.7",2468
"s164"," 0.0",8411
"s165","  NA",1759
"s166"," 2.9",5425
"s167"," 3.5",1749
"s168"," 3.3",2970
"s169"," 4.4",5469
"s170"," 4.9",354
"s171"," 5.0",2203
"s172"," 4.5",219
"s173","  NA",980
"s174","  NA",1276
"s175"," 5.0",7858
"s176"," 3.4",6663
"s177"," 3.5",2143
"s178"," 4.2",4476
"s179"," 4.3",860
"s180"," 3.3",4469
"s181"," 1.5",14772
"s182"," 4.0",15649
"s183"," 3.0",5586
"s184"," 3.7",1965
"s185"," 4.4",3338
"s186","10.0",771
"s187"," 4.0",2562
" s188"," 3.8",5046
" s189"," 4.7",2109
"s190"," 4.2",2303
"s191"," 4.4",8467
"s192"," 3.3",6859
"s193"," 4.4",8538
"s194"," 2.4",4489
"s195"," 4.7",8435
"s196"," 3.7",1998
"s197"," 3.6",3367
"s198"," 3.5",64930
"s199"," 3.4",3857
"s200"," 4.1",2191
"s201"," 4.8",3098
"s202"," 4.3",12321
"s203"," 3.5",5850
"s204"," 3.1",7874
"s205"," 3.9",11985
"s206"," 4.0",1090
"s207"," 4.7",3930
"s208"," 3.8",11371
"s209"," 4.6",1201
"s210"," 3.3",2680
"s211"," 3.6",2684
"s212"," 4.0",8323
"s213"," 5.0",4627
"s214"," 3.5",1576
"s215"," 5.0",46
"s216"," 4.0",2315
"s217"," 4.4",5562
"s218"," 4.1",1063
"s219","  NA",9743
"s220"," 3.3",2762
"s221"," 1.0",3628
"s222"," 4.1",985
"s223"," 4.8",2070
"s224"," 3.2",10456
"s225"," 3.3",2604
"s226"," 3.1",12954
"s227"," 2.0",1798
"s228"," 2.8",3179
" s229"," 4.5",2795
"s230"," 2.5",1849
"s231"," 3.7",1365
"s232"," 3.9",534
"s233"," 2.4",18995
"s234","-2.0",6073
"s235"," 3.6",10213
"s236"," 5.0",6208
"s237"," 1.7",11050
" s238"," 1.4",1349
"s239"," 1.9",6281
"s240"," 2.8",9126
"s241"," 4.4",295
"s242"," 4.8",2373
"s243"," 2.6",1262
"s244"," 3.3",2857
"s245"," 3.5",4352
"s246"," 2.5",3043
"s247"," 5.0",1723
"s248","3.21754120583646 stars",7235
"s249"," 3.6",2183
"s250"," 3.3",3603
"s251"," 4.3",2951
"s252"," 4.6",647
"s253"," 3.0",5706
"s254"," 3.4",3147
" s255","2.92195203723386 stars",970
"s257"," 3.2",1853
"s258"," 2.9",23531
"s259"," 3.1",8411
"s260"," 2.3",1515
"s261"," 2.4",15279
"s262"," 3.1",1205
"s263"," 4.3",4095
"s264"," 4.3",3444
"s265"," 2.4",8603
"s266"," 4.1",4660
"s267"," 4.1",2697
"s268"," 2.1",8277
"s270"," 3.9",4614
"s271"," 4.4",2726
"s272"," 2.9",14266
"s273"," 3.9",7843
"s274"," 3.7",8653
"s275"," 4.8",5103
"s276"," 3.3",12602
"s277"," 3.2",109
"s278"," 3.8",4952
"s279"," 4.8",7628
"s280"," 3.7",2731
"s281"," 3.5",242
"s282"," 4.4",1152
"s283"," 3.6",3704
"s284"," 5.0",2128
"s285"," 3.6",17279
"s286"," 4.8",3032
"s287"," 0.0",7530
"s288"," 2.4",9944
"s289"," 3.6",826
"s290"," 3.8",4111
"s292"," 4.5",2531
"s293"," 4.1",4572
"s294"," 2.9",1613
"s295"," 4.4",709
"s296"," 4.6",1709
"s297"," 3.2",10653
"s298"," 6.0",594
"s299"," 3.2",1956
"s300"," 4.0",8297
"s301"," 1.2",2201
"s302"," 2.6",4913
"s303"," 4.0",2729
"s305"," 4.4",3803
"s306"," 3.6",8478
"s307"," 2.3",1357
"s308"," 3.9",2351
"s309"," 2.6",9595
"s310"," 3.7",5854
"s311"," 4.0",1031
"s312"," 3.0",5198
" s313"," 1.2",1379
"s314"," 5.0",2300
"s315"," 2.4",12130
"s316"," 3.4",1128
"s317"," 4.2",600
"s319"," 2.5",633
"s320"," 2.7",4975
"s321"," 3.8",19007
"s322"," 4.9",4502
"s323"," 1.9",3357
"s324"," 3.0",6718
" s325"," 4.2",1288
"s326"," 4.6",1839
"s327"," 3.6",4334
"s328"," 2.0",6366
"s329","  NA",892
"s330"," 1.6",951
"s331"," 4.4",6678
"s332"," 3.9",11314
"s333"," 1.5",5611
" s334"," 4.0",1844
"s336"," 3.9",1369
"s337"," 2.4",3054
"s338"," 4.6",6418
"s339"," 5.0",1258
"s340"," 3.9",7570
"s341","  NA",1633
"s342"," 2.9",10205
"s343","  NA",1080
"s344"," 2.3",1913
"s345"," 4.1",1619
"s347"," 3.0",4784
"s348"," 4.8",801
"s349"," 2.1",1085
"s350"," 3.7",2494
"s351"," 4.4",2882
"s352"," 3.8",6542
"s353"," 2.8",6008
"s354","  NA",3069
"s355"," 4.7",2328
"s356"," 2.2",618
"s357","  NA",9174
"s358"," 5.0",1046
"s359","  NA",3275
"s360"," 4.5",929
"s361"," 3.2",1796
"s362"," 1.4",12802
"s363"," 4.1",4165
"s364"," 5.0",485
" s365"," 2.5",1187
"s366"," 3.8",10188
" s367"," 4.9",1793
"s368"," 5.0",2763
"s369"," 3.5",4934
"s370"," 1.9",618
"s371"," 4.3",3735
"s373"," 4.2",5528
"s374"," 2.3",4511
"s375"," 3.9",1379
"s376"," 4.9",13844
"s377"," 5.0",3430
"s378"," 4.2",1598
"s379"," 4.0",3528
"s380"," 3.5",1862
"s381"," 3.9",9796
"s382"," 3.0",6253
"s383"," 3.2",12257
"s384"," 3.8",806
"s385"," 4.0",3963
"s386"," 5.0",1624
"s387"," 2.0",7770
"s388"," 2.7",3797
"s389"," 3.5",595
"s390"," 2.1",1071
"s391"," 3.9",3544
"s392","  NA",8346
"s393"," 4.1",4198
"s394"," 5.0",3852
"s395"," 3.2",1042
"s396","3 stars",747
"s397"," 3.5",14050
" s399"," 3.8",2793
"s401"," 4.2",2266
"s402"," 5.0",1999
"s403","  NA",819
"s404"," 1.2",984
"s405"," 3.0",6041
"s406"," 4.0",235
"s407"," 0.0",3432
"s408"," 1.5",1642
"s409"," 2.2",582
"s410"," 3.3",2387
"s411"," 3.9",15355
"s412"," 3.2",11315
"s413"," 3.3",1243
"s414"," 4.3",2646
"s415"," 3.5",5176
"s416"," 3.5",1419
"s417"," 1.4",3062
"s418"," 4.2",2981
"s419"," 3.5",10762
"s420"," 3.1",11222
"s421"," 5.0",2418
"s422"," 3.1",166
"s423"," 4.9",3770
"s424"," 3.6",6471
"s425"," 4.1",3816
"s426"," 2.8",2279
"s427","2.6 stars",7894
"s428"," 4.9",1619
"s429"," 3.9",1024
"s430"," 4.2",3711
"s431"," 1.2",19690
"s432"," 1.9",5148
"s433"," 2.5",1361
"s434"," 1.6",1644
"s437"," 3.8",725
"s438"," 2.2",1800
"s439"," 5.0",9540
"s440"," 2.8",3536
"s441"," 4.1",3168
"s442"," 4.0",738
"s443"," 3.3",4641
"s444"," 0.0",2189
"s445","  NA",3241
"s446","10.0",3031
"s447"," 3.6",8251
"s448"," 3.1",2368
"s449"," 4.7",2463
"s450"," 1.4",37288
"s451"," 3.4",601
"s452"," 2.9",4230
"s453"," 5.0",16312
"s454","  NA",3058
"s455"," 1.8",2288
"s456"," 5.0",2182
"s457","3.38948598536663 stars",6609
"s458"," 5.0",7141
"s460"," 4.7",2630
"s461"," 3.6",13768
"s462"," 3.5",3540
"s463"," 2.2",4675
"s464"," 0.0",1778
"s465"," 4.3",838
"s467"," 2.8",2627
"s468","  NA",989
"s469"," 4.6",3125
"s470"," 3.4",5112
"s471"," 2.9",14472
"s472"," 3.8",4143
"s473"," 4.2",1879
"s474"," 3.3",817
"s475"," 8.0",1308
"s476"," 3.5",1117
"s477"," 3.5",7288
"s478"," 4.9",3902
"s479"," 2.8",1126
"s480"," 3.6",1868
"s482"," 4.7",704
"s483"," 3.2",3165
"s484"," 3.3",5500
"s485"," 5.0",8582
"s486"," 4.4",4141
"s487"," 2.5",3680
"s488"," 4.3",9426
"s489"," 4.4",5647
"s490"," 3.0",2936
"s491"," 3.9",527
"s493","2.26310816516634 stars",14107
"s494"," 3.0",8680
"s495","  NA",2373
"s496"," 3.5",964
"s497"," 5.0",2384
"s498"," 2.4",2183
"s499"," 3.7",977
"s500"," 3.6",1197
"s501"," 4.8",10432
"s502"," 4.0",1580
"s503"," 3.4",7265
"s505"," 2.8",5365
"s506"," 3.2",9210
"s507"," 4.0",6293
"s508"," 3.8",1531
"s509"," 4.8",2854
"s510"," 3.1",21761
"s511"," 3.5",1423
"s512"," 3.7",1458
"s513"," 2.2",781
"s514"," 3.3",1787
"s515"," 4.2",1845
"s516"," 4.1",5743
"s518"," 2.5",3485
"s519","3.1 stars",980
"s520"," 4.0",4072
"s521"," 4.9",18809
"s522"," 2.5",4665
"s523"," 4.5",22456
"s524","  NA",3642
"s525"," 4.4",418
" s526"," 1.0",7747
"s527"," 2.3",2345
"s528"," 4.3",1833
"s529"," 4.1",755
"s530"," 3.7",2870
"s531"," 3.1",3599
"s532"," 3.5",8200
"s533"," 2.5",796
"s534"," 3.5",2650
"s536"," 4.9",3231
"s538"," 4.1",12763
"s539"," 3.8",2449
"s540"," 8.0",2505
"s541"," 5.0",8886
"s542"," 4.4",3574
"s543"," 2.9",21234
"s544"," 4.3",13334
"s545","  NA",20218
"s546"," 2.4",2698
"s547"," 2.4",516
"s548"," 3.3",858
"s549"," 4.3",2625
"s550"," 2.9",4080
"s551"," 3.7",19515
"s552"," 4.1",2762
"s553","  NA",1312
"s554","  NA",14287
"s555"," 2.5",7168
"s556"," 4.9",2443
"s557"," 4.7",6299
"s558"," 2.0",2706
"s559"," 5.0",5963
"s560"," 4.9",1971
"s561"," 5.0",1305
"s562"," 3.3",5252
"s563"," 1.4",394
"s564"," 5.0",1224
"s565"," 3.5",9043
"s566"," 5.0",8417
"s567"," 3.5",5338
"s568"," 3.4",2676
"s569"," 4.5",3950
"s570"," 2.9",7180
"s571","10.0",189
"s572"," 4.1",5460
"s573","10.0",2738
"s574"," 4.3",775
"s575"," 1.0",1485
"s576"," 3.8",9618
"s577"," 3.8",14620
"s578"," 3.5",3844
"s579"," 4.1",1467
"s580"," 4.2",2749
"s581","4.11706987498328 stars",1072
"s582"," 4.1",6986
"s583"," 2.8",5364
"s584"," 2.0",604
"s585"," 3.0",11408
"s586"," 3.6",3817
"s587"," 3.3",492
"s588"," 2.3",513
"s589"," 2.9",1655
"s590"," 3.7",1152
"s591"," 3.8",1373
"s592"," 2.4",4822
"s593"," 4.3",11874
"s594"," 3.5",741
"s595"," 2.2",2009
"s596"," 4.4",2978
"s597"," 3.1",4031
"s598"," 4.6",7500
"s599"," 4.4",10121
"s600"," 4.5",11310
"s603"," 1.3",3420
"s604"," 4.3",2677
"s605"," 3.1",4445
"s606"," 2.4",1476
"s607"," 3.0",4043
"s608"," 2.7",4561
"s609"," 5.0",5848
"s610"," 5.0",6548
"s611","  NA",1518
"s613"," 3.9",4931
"s614"," 3.3",2530
"s615"," 4.1",1061
"s616"," 3.5",5225
"s617"," 3.5",1504
"s619"," 3.9",1422
"s620"," 2.3",12170
"s621"," 2.9",5628
"s622"," 5.0",21217
"s623"," 2.6",4302
"s624"," 2.9",5688
"s625"," 2.7",3084
"s626","10.0",1299
"s627"," 2.7",1675
"s628"," 4.5",1835
"s629","  NA",1636
"s630"," 4.2",1932
"s631"," 2.3",8165
"s632"," 2.8",27656
"s634"," 1.3",1848
"s635"," 4.1",6001
"s636"," 3.5",5430
"s637"," 4.4",18221
"s638"," 2.8",2609
"s639"," 1.9",1745
"s640"," 4.8",4638
"s641"," 4.0",10451
"s642"," 4.2",5434
"s643"," 3.4",1117
"s644"," 3.5",2678
"s645"," 3.5",7136
"s646"," 3.3",14191
"s647"," 4.3",7481
"s648"," 1.7",2769
"s649"," 4.1",7044
"s650"," 3.9",1000
"s651"," 5.0",6218
"s652"," 3.5",2233
"s653"," 2.9",8390
"s654"," 4.5",5745
"s655"," 2.8",1475
"s656","  NA",1979
"s657"," 4.6",366
"s658"," 4.7",3567
"s659"," 5.0",31473
"s660"," 4.8",11978
"s661"," 4.1",4250
"s662"," 5.0",1356
"s663"," 4.2",1060
"s664"," 2.3",2219
"s665"," 5.0",2172
"s666"," 4.2",1666
"s667","3.97122418116778 stars",22755
"s668"," 2.4",1153
"s669"," 2.3",3691
"s670"," 1.8",1516
"s671"," 4.8",4374
"s672"," 3.2",1612
"s673"," 5.0",2350
"s674"," 3.7",5149
"s675"," 3.6",985
"s676"," 3.4",5918
"s677"," 4.5",2342
"s678"," 3.9",5162
"s679"," 3.1",5611
"s680"," 3.1",16881
"s681"," 1.5",998
" s682"," 4.6",1679
"s684"," 3.9",1059
"s685"," 2.9",2243
"s686"," 4.5",9629
"s687"," 3.2",2932
"s688"," 3.7",1817
"s689"," 3.3",2484
"s690"," 2.1",2494
"s691"," 4.0",4423
"s692"," 5.0",2196
"s693"," 2.8",2866
"s694"," 3.9",2818
"s695"," 2.2",1632
"s696","10.0",4474
"s697","  NA",986
"s698","  NA",2017
"s699"," 3.8",6984
"s700"," 5.0",5228
"s701"," 3.9",12930
"s702"," 3.3",1869
"s704"," 2.2",5807
"s705","4.7 stars",3561
"s706"," 3.7",625
" s707"," 5.0",1049
"s708"," 2.5",374
"s709"," 4.6",2164
"s710"," 2.3",2472
"s711"," 3.9",248
"s712"," 3.8",2893
"s713"," 4.4",456
"s714"," 4.4",326
"s715","2.5 stars",6917
"s716"," 4.1",1296
"s717"," 3.3",3082
"s718"," 1.8",8772
"s719"," 2.0",13125
"s720","  NA",1295
"s721"," 3.7",1553
"s722"," 1.4",6737
"s723"," 2.7",6740
"s724","  NA",5621
"s725"," 3.9",3472
"s726"," 3.5",2493
"s727"," 1.9",1370
"s728"," 4.0",3175
"s729"," 3.1",293
"s730","  NA",5355
"s731"," 4.7",5295
"s732","1.2 stars",4306
"s733"," 3.8",2009
"s734"," 2.6",17649
"s735"," 5.0",2659
"s736"," 2.6",7924
"s737"," 2.1",1115
"s738"," 2.5",2065
"s739"," 3.7",2595
"s740","2.20694610215723 stars",2546
"s741"," 1.4",5131
"s743"," 2.8",2792
"s744"," 5.0",775
"s745"," 3.7",1698
"s746"," 4.1",1511
"s747","  NA",23316
"s748"," 3.0",6775
"s749"," 4.3",370
"s750"," 5.0",7435
"s751"," 4.3",4617
"s752"," 4.2",2167
"s753"," 3.1",2845
"s754"," 3.9",3585
"s755"," 3.2",6424
"s757"," 3.4",973
"s758"," 4.6",1716
"s759"," 2.2",7711
"s760"," 3.1",6013
"s761"," 3.2",586
"s762"," 4.6",14442
"s763"," 3.5",1302
"s765","  NA",1913
"s766"," 3.4",1435
"s767"," 5.0",2897
"s768"," 3.6",1658
"s769"," 3.9",2889
"s770"," 2.4",18882
"s771"," 4.1",2014
"s772","4.7 stars",5609
"s773"," 4.1",386
"s774"," 3.7",1268
"s775"," 5.0",2665
"s776"," 1.6",4327
"s777"," 2.0",2123
"s778"," 3.4",2819
"s779"," 4.0",1908
"s780"," 3.4",2732
"s781"," 3.3",1267
"s782"," 3.2",6400
"s783"," 6.0",1462
"s784"," 2.5",1099
"s785"," 1.4",6655
"s787"," 3.5",1631
"s788"," 3.9",3134
"s790"," 2.6",3867
"s791"," 2.2",1193
"s792"," 3.6",1621
"s793"," 2.6",4869
"s794"," 3.2",6463
"s795"," 3.2",7604
"s796"," 4.6",8056
"s797"," 2.9",23546
"s798"," 3.7",5502
"s799","  NA",403
"s800"," 2.1",4592
"s801"," 2.3",3671
"s802","  NA",2561
"s803"," 3.7",12141
"s805"," 1.2",2700
"s806"," 3.3",3014
"s807"," 3.6",622
"s808"," 4.4",287
"s809"," 2.5",4450
"s810"," 5.0",2771
"s811"," 2.0",2205
"s812"," 4.5",3374
"s813"," 4.4",4137
"s814"," 1.6",5844
"s815"," 3.0",2176
"s816"," 4.5",1545
"s817"," 3.1",992
"s818"," 4.0",875
"s819"," 4.5",1231
"s820"," 4.1",766
"s821"," 3.4",2331
"s822"," 3.9",520
"s823"," 3.1",1139
"s824"," 4.5",540
"s826"," 3.8",2391
"s827"," 3.0",16953
"s828"," 3.3",7851
"s829"," 4.0",855
"s830"," 3.3",2363
"s831"," 2.4",8779
"s832"," 3.9",2137
"s833","  NA",670
"s834"," 4.1",7172
"s835"," 3.8",5628
"s837"," 2.3",990
"s838"," 2.6",2076
"s839","3.61721892710775 stars",2858
"s840"," 4.5",1329
"s841"," 2.2",3192
"s842"," 4.3",817
"s843"," 2.5",2273
"s844"," 3.1",7118
"s845"," 3.8",2100
"s846"," 3.7",3195
"s847"," 1.8",2023
"s848"," 2.4",12416
"s849"," 4.2",11526
"s850"," 2.3",3700
"s851"," 3.0",2708
"s852"," 3.8",24108
"s853","10.0",4167
"s854"," 2.7",4358
"s856"," 2.8",597
"s857"," 3.8",1307
"s858"," 2.9",1483
" s859"," 3.4",1715
"s861"," 2.5",3044
"s862"," 5.0",796
"s863"," 2.7",1514
"s864"," 2.1",2156
"s865"," 3.6",10032
"s866"," 4.2",2323
"s867"," 3.3",9879
"s868"," 3.8",2601
"s869"," 2.5",3855
"s870"," 5.0",7632
"s871"," 4.9",729
"s872"," 3.7",8138
" s873"," 1.3",3914
"s874","3.7 stars",24166
"s875"," 3.5",1185
"s876"," 4.2",13261
"s877"," 5.0",10857
"s878"," 4.3",9629
"s879"," 3.7",9183
"s880"," 2.5",2166
"s881"," 3.4",4125
"s882"," 4.7",10490
"s883"," 4.0",19497
"s884"," 4.4",5339
"s885"," 3.2",9470
"s886"," 2.8",9354
"s888"," 3.1",3917
"s889"," 8.0",2964
"s890"," 3.8",2202
"s891"," 1.4",1518
"s892"," 5.0",15672
"s893"," 3.9",3427
"s894"," 4.2",2791
"s895"," 2.1",1687
"s896"," 3.9",12054
"s897"," 3.2",13270
"s898"," 2.6",2720
"s899"," 3.7",3162
"s900","  NA",580
"s901"," 2.8",1598
"s902"," 3.6",1528
"s903"," 4.6",1761
"s904"," 4.0",12741
"s905"," 2.9",876
"s906"," 3.6",361
"s907"," 1.1",2151
"s908"," 3.3",1991
"s909","  NA",3875
"s910"," 3.4",1349
"s911","  NA",2319
"s912"," 4.3",2376
"s913"," 2.9",784
"s915"," 4.3",673
"s916"," 3.1",8094
"s917"," 1.1",6278
"s918"," 3.3",3820
"s919"," 3.0",1906
"s920"," 2.0",5993
"s921","1.72411265429109 stars",13255
"s922"," 3.2",4325
"s923"," 3.2",1273
"s924"," 1.9",13420
"s925"," 4.0",8271
"s926"," 3.8",7247
"s927"," 3.3",1179
"s928"," 3.5",5272
" s929","  NA",1926
"s930"," 5.0",553
"s931"," 3.7",2133
"s932","  NA",1524
"s933"," 5.0",2471
"s934"," 3.8",310
"s935"," 2.3",494
"s936"," 4.4",3991
"s937","  NA",1844
"s938"," 2.7",1429
"s939","  NA",2851
"s940"," 3.4",5927
"s941"," 4.6",3380
"s942","  NA",3271
"s943"," 3.3",3466
"s944"," 3.9",990
"s945"," 4.4",3288
"s946"," 5.0",1543
"s947"," 5.0",784
"s948"," 3.9",3687
"s949"," 2.0",868
"s951"," 3.8",15605
"s952"," 3.2",1514
"s953","  NA",2074
"s954"," 2.7",866
"s955"," 2.8",13865
"s957"," 1.4",6672
"s958"," 4.0",3340
"s959"," 3.5",471
"s960"," 4.9",1378
"s961"," 3.1",692
"s962"," 2.1",1537
"s963"," 2.6",4750
"s964"," 3.5",1008
"s965"," 3.1",18161
"s966"," 1.5",3762
"s967"," 2.8",5743
"s968"," 4.7",7357
"s969"," 3.5",6151
"s970"," 3.7",2679
"s971"," 4.4",1929
"s972"," 3.8",7104
"s973","  NA",11058
"s974"," 3.1",12170
"s975"," 3.1",351
"s976"," 2.9",8914
"s977"," 3.8",4763
"s978"," 2.3",2660
"s979"," 2.9",2204
"s980"," 2.3",1800
"s982"," 4.8",12308
"s983"," 3.6",3046
"s984"," 1.9",2193
"s985"," 5.0",4464
"s986"," 2.0",2461
"s987"," 4.2",8627
"s988"," 2.8",3194
"s989","5 stars",901
"s990"," 3.3",23198
"s991"," 5.0",1696
"s992"," 5.0",3223
"s993"," 3.8",3333
" s994"," 3.1",6124
"s995","  NA",473
"s996"," 4.4",1111
"s997"," 4.1",9940
"s998"," 5.0",2928
"s999"," 3.1",14164
"s1000"," 1.7",5116
"s1001"," 3.0",5493
"s1002"," 2.1",5024
"s1003","2.7 stars",929
"s1004"," 2.7",3961
"s1005"," 4.0",5384
" s1006"," 4.9",4556
"s1007"," 2.5",1231
"s1008"," 3.4",4416
"s1009"," 3.6",2523
"s1010"," 3.0",2679
"s1011","99.0",26283
"s1012"," 4.0",2027
"s1013"," 2.7",2723
"s1014"," 4.1",1231
"s1015"," 4.6",1236
"s1016"," 4.5",379
"s1017"," 5.0",2157
"s1018"," 3.8",5921
"s1019"," 3.4",9064
"s1020"," 3.5",1393
"s1021"," 2.3",5210
"s1022"," 4.4",2763
"s1023"," 3.0",4882
"s1024"," 3.9",1479
"s1025"," 2.7",7910
"s1026"," 3.6",2054
"s1027"," 2.7",1109
"s1028"," 1.9",17750
"s1030"," 2.7",4015
"s1031"," 1.1",1557
"s1032"," 4.5",2280
"s1033"," 4.7",3007
"s1034"," 2.1",1568
"s1035"," 4.7",1159
"s1036"," 3.1",864
"s1037"," 5.0",7222
"s1038"," 4.8",6762
"s1039"," 3.4",5244
"s1040"," 1.6",5640
"s1041"," 2.9",9804
"s1042"," 4.2",2230
"s1043"," 3.2",471
"s1044"," 3.5",10705
"s1045"," 2.9",1327
"s1046"," 1.9",7848
"s1047"," 4.0",5080
"s1048"," 4.3",6983
"s1049"," 3.8",5004
"s1050"," 2.1",3893
"s1051"," 2.8",6386
" s1052"," 3.2",4082
"s1053"," 2.1",9527
"s1054"," 2.2",1174
"s1055"," 1.7",726
"s1056"," 3.9",6854
"s1057"," 3.6",4882
"s1058"," 3.9",5239
"s1059"," 2.0",685
"s1061"," 2.8",1244
"s1062"," 1.8",8073
"s1063","3.7 stars",3192
"s1064"," 3.1",3501
"s1065"," 5.0",918
"s1066"," 3.4",1983
"s1067"," 6.0",3486
"s1068","  NA",1381
"s1069"," 2.1",4085
"s1071"," 5.0",3242
"s1072"," 5.0",14484
"s1073"," 3.2",1454
"s1074","  NA",4591
"s1075"," 3.7",4233
"s1076"," 2.2",3223
"s1077"," 4.5",701
"s1078"," 2.7",4620
"s1079"," 4.1",1694
"s1080"," 4.0",2941
"s1081"," 1.6",669
"s1082"," 2.6",815
"s1083"," 1.8",2662
"s1084"," 4.6",3340
"s1085"," 3.0",10592
"s1086"," 3.3",5786
"s1087","NA stars",1626
"s1088"," 2.5",496
"s1089"," 4.0",5452
"s1090"," 3.1",1842
"s1091"," 4.9",3626
"s1092"," 2.7",21065
"s1093"," 3.6",741
"s1094"," 2.7",242
"s1095"," 1.7",3873
"s1096"," 3.4",10477
"s1097"," 1.9",5015
"s1098"," 2.6",3206
"s1099"," 2.2",2865
"s1100"," 4.0",2926
"s1101"," 3.8",7433
"s1102"," 2.6",815
"s1103"," 3.7",8535
"s1104"," 3.4",366
"s1105"," 4.8",7557
"s1106","  NA",10750
"s1107"," 4.4",1652
" s1108"," 4.7",2409
"s1109"," 1.9",684
"s1110"," 5.0",2868
"s1111","3.61402398394421 stars",2778
"s1112","10.0",1450
"s1113"," 1.5",1913
"s1114"," 2.6",1611
"s1115"," 5.0",11038
"s1116"," 2.9",1273
"s1117","  NA",1878
"s1118","3.50609594278503 stars",2485
"s1119"," 3.9",1616
"s1120"," 3.4",35582
"s1121"," 4.2",4036
"s1122"," 3.6",2565
"s1123"," 4.3",10577
"s1124","  NA",12062
"s1125"," 2.8",7517
"s1126"," 3.8",959
"s1127"," 2.3",405
"s1128"," 3.9",3366
"s1129"," 4.3",11596
